dossier ;guideline ;PDF link ;method of analysis/ method of detection;observations;moribound animal;corrosivity;grading of lesion;cell viability;systemic effects; irritation response scores ( IVIS, ICE class, irritation index);opacity and permeability ;membrane barrier penetration;skin impedance TER;dye binding assay data;results;conclusion;homogeneity;pH;physical form ;treatment(grinding, wetting);concentration (%);composition;purity (%);direct interaction with MTT;coloring of tissue;solubility in vehicle;chemical batch nr;additional info;type of study (in vivo, in vitro, in silico);species/strain;source;age at start of experiment;age measuring unit (day, week, month, year);sex;weight;weight measuring unit (gram, kilogram);feed;n animals / group;test system;test system preparation ( stored prior to use, wetting, treatment);replicates /condition;cell design;receptor fluid;viability;barrier function;morphology;quality control;calibration;proficiency;TER value;measuring system ( uplc/hplc-spectrophotometer,….);age at sacrifice;in silico;dose levels;unity ( or extra information);dose volume (mL);administration scheme;route of exposure;use of anaesthesic/analgesic;patch system ( open, semi-occluded, occluded);skin condition;exposed area (cm2);exposure time/ time point (minute,hour, day);observation period (day);scoreing times/sampling franctions;temperature during incubation(°C);humidity;temperature during post-incubation(°C);post treatment incubation time;rinsing ;vehicle;procedure;additional info;year;GLP;SCCS comment to test;Ref. in dossier;preliminary study ;control groups;additional information;own comments
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;;at 24h reading,  only slight erythema was observed. when the examination was repeated 72 h and 7 days after the start of exposure, no effects were observed. ;;;primary irritation index of 0.5 out of a maximum 8;;;;;;;;;the tests showed a low potential for skin irritation and resulted (for both intact and abraded skin and averaged reading from 24 and 72 h) in a primary irritation index of 0.5 (out of a maximum 8). ;;;;;100;;;;;;;;in vivo;rabbit/ new zealand white;;;;;;;;6;;;;;;;;;;;;;;;;;;0.5;single;occular (according to Draize);;occluded;both intact and abraded skin ;;24;;24h, 72h ;;;;;;;;;;;;3;;;;
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;;"repeated daily dermal application of 450 mg/kg bw to rabbits caused painful and severe haemorrhage and eschar formation after four doses; the reaction to a dose of 150 mg/kg bw per day was less marked. ";;;;;;;;;;;;;;;;;;;;;;;;;in vivo ;rabbit;;;;;;;;;;;;;;;;;;;;;;;;150, 450 ;mg/kg bw;;repeated daily;dermal;;;;;;;;;;;;;;;;;;in rabbits, slight or moderate irritation has been reported. ;1 & 7;;;;
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;;twenty-four hours after application, slight erythema was observed in two guinea-pigs with the 50% solution and in 0 with the 5% solution. after 48 h, no effects were registered.;;;;;;;;;;;;;;;aqueou solutions of NMP;;5 and 50%;;;;;;;;in vivo ;guinea pig/albino;;;;m;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;24;;24 and 48h;;;;;;;;;;;in guinea-pigs, slight or moderate irritation has been reported. ;1 & 8;;;;
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;;acute painful swelling and excessive wrinkling of the skin of their hands was observed without signs of inflammation which probably could be attributed to the powerful hygroscopic effect of NMP on the stratum corneum.;;;;;;;;;;;;;;;;;99;NMP;;;;;;;in vivo ;human / workers;;;;;;;;3;;;;;;;;;;;;;;;;;;;exposed  for a few minutes several times during 3 days;;;;;;;;;;;;;;;;;;;irritation of the skin has been reported in workers with prolonged or repeated exposure (dermatitis, oedema, redness blister or cracking).;2 & 9;;;;
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;;skin irritation was reported in several workers after a few days of working with NMP. they used a paper cloth to wipe surplus of NMP from plastic pieces that had been dipped in the solvent. analyses by gas chromatography indicated that no compounds other than NMP were present in detectable quantities in the samples of NMP discarded after use.;;;;;;;;;;;;;;;;;;;;;;;;;in vivo ;human / workers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;irritation of the skin has been reported in workers with prolonged or repeated exposure (dermatitis, oedema, redness blister or cracking).;2 & 10;;;;
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;;intraocular applications of 0.1 ml NMP caused conjunctival effects, such as corneal opacity, iritis, and conjunctivitis. the effects faded within 21 days after the application. when the exposed eye was washed out 30 s after the application, the effects faded within 14 days.;;;the primary irritation index scores for unwashed/washed eye were 41/35, 40/26, 34/18, 8/1, 4/0, and 0/- after 1, 2, 3, 7, 14, and 21 days postexposure, respectively.;;;;;;;;;the tests in the rabbits indicated a moderate potential for eye irritation. ;;;;;;;;;;;;;in vivo;rabbit/ new zealand white;;;;;;;;9;;;;;;;;;;;;;;;;;;0.1;single;occular (intraocular applications according to Draize);;;;;;21;;;;;;yes,30 s,  performed in three of the nine exposed rabbits;;;;;;NMP causes eye irritation;3;;the other eye served as untreated control;;
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;;no discomfort of the eyes was reported by the subjects. ;;;;;;;;;;;;the authors do not exclude that extremely high peak exposures or warm NMP vapours may condense to an aerosol vapour that may be irritating to the eyes. ;;;;;;;;;;;;;in vivo ;human / volunteers;;;;m;;;;6;;;;;;;;;;;;;;;;0, 10, 25, 50; mg /m3;;;inhalation;;;;;8;;;;;;;;;;;;;NMP causes eye irritation;11;;;;
n-methyl-2-pyrrolidone (NMP);;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf;; severe eye irritation and headache was reported. levels of NMP vapours ranging from 49 to 83 ppm (i.e. 202 to 342 mg/m³) were qualified “unbearable”. concentrations of 15-17 ppm (i.e. 62-70 mg/m³) were described as “immediately uncomfortable”. ;;;;;;;;;;;;these reports present several limitations regarding the methods used to assess the exposure levels and the responses (e.g. informal interviews, subjective judgements).;;;;;;NMP;;;;;;;in vivo ;human/workers in eectronic industries;;;;;;;;;;;;;;;;;;;;;;;;"15-17; 49 -->83 ";"ppm (i.e. 62-70 mg/m³); (i.e. 202 to 342 mg/m³) ";;;;;;;;;;;;;;;;;;;;;NMP causes eye irritation;12;;;;
2,6-diaminopyridine;OECD 404;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_084.pdf;;animal body weights were measured just before the application and 72 hours after the removal of patches (at the end of the observation period). no abnormality was observed in any of the 3 application sites at 1, 24, 48, and 72 hours after removal of patches.;;;;;;;;;;;;non irritant to the skin of the rabbits under the conditions in this study;;;;;3% (w/v) test substance in vehicle;;99.7;;;;a3221;;in vivo ;rabbit/kbl:nzw (spf);;;;f;;;;4;;;;;;;;;;;;;;;;;;0.5;single dose;dermal, dorsal skin;;lint patch, patch was affixed;;;4;3;1, 24, 48, and 72h after the removal of patches;;;;;;distilled water;;;2006;yes;;3;;;;
2,6-diaminopyridine;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_084.pdf;;eye responses and general condition of animals were observed at 1, 24, 48, and 72 hours after application. non irrigation group, slight redness of conjunctivae was observed in only one eye at 1 hour after application. no abnormality was observed in the other 2 eyes in this group during the observation period. no obvious difference between non irrigation group and irrigation group, because no irritable responses were observed at any eye in irrigation group.;no;;;;;;;;;;;non irritant or mild irritant to the eye of the rabbits under the conditions in this study. the study was unable to confirm an irrigation effect from the results due to a very mild irritation of a 3% 2,6-diaminopyridine in water solution;;;solid (dissolved in water);;3% (w/v) test substance in water;;99.7;;;;a3221;;in vivo ;rabbit/kbl:nzw (spf);;;;f;;;;3 ( 6 in total );;;;;;;;;;;;;;;;;;0.1;;;;;;;;3;1, 24, 48, and 72h after application;;;;;irrigation group (3 animals) and non-irrigation group (3 animals);distilled water;;;2006;yes;3% 2,6-diaminopyridine solution in water was slightly irritant.;4;;;;
hydroxyethyl-3,4-methylenedioxyaniline HCl;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_006.pdf;;no skin reactions at all were observed at any observation time point;;;;;;;;;;;;a 5 % solution of hydroxyethyl-3,4-methylenedioxyaniline HCl revealed no indication of irritating properties to guinea pig skin under the conditions of the experiment. ;;;;;5;test substance dissolved in water;;;;;;;in vivo ;guinea pig / pirbright white (spf);;;;f;;;;15;;;;;;;;;;;;;;;;;;;once daily for five consecutive days;dermal,  on flank region;;open ;clipped skin;12;;8;5h after each application and once on the third day after the last application according to draize-scheme for erythema and oedema;;;;;no;water;;;;no;although the experiment was not guideline compliant and the purity of the test substance not described, the results indicate that the test substance is not overtly irritant to skin;17;;;;
hydroxyethyl-3,4-methylenedioxyaniline HCl;non OECD;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_006.pdf;reading by means of fluorescein-instillation took place at 24 h;slight conjunctival redness and oedema as well as corneal opacity were noted in two animals up to 3 hours after instillation. no other eye irritating effects were noted at any observation time in any of the 10 tested animals.;;;;;;;;;;;test substance caused transient irritation to the eyes of guinea pigs;;;;;;2;test substance dissolved in water;;;;;;;in vivo ;guinea pig / pirbright white (spf);;;;f;;;;10;;;;;;;;;;;;;;;;;;0.1;single dose applied into the conjunctival sac of the right eye;ocular;;;;;24;;0.5, 1, 2, 3, 4, 6, 7, 24h after application;;;;;no;water;;;;no;although the guinea pig is not the recommended animal to investigate eye irritating properties in vivo and the experiment was not guideline compliant and the purity of the test substance not described, the findings indicate that the intended maximum on-head concentration of hydroxyethyl-3,4-methylenedioxyaniline HCl in hair dye formulations (1.5 %) should have a low potential to cause eye irritation in humans;18;;the left eye served as control.;;
hc yellow n° 7;OECD 404;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_032.pdf;;no skin reactions. brown/yellow skin discolouration was observed at the 1-hour time-point but did not prevent the accurate assessment of erythema;;;;;;;;;;;;not irritating to rabbit skin when tested undiluted;;;;;;neat;99.1;;;;op. 35;test substance: Imexine AA;in vivo ;rabbit/new-zealand white;;;;f;;;;3;;;;;;;;;;;;;;;;500;mg;;single;dermal, clipped dorsal area of the trunk;;semi-occlusive ;;;4;3;1, 24, 48 and 72h after removal of the dressing;;;;;residual test substance was wiped off;neat (moistened with water);;;1989;yes;;2;;;;
hc yellow n° 7;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_032.pdf;;conjunctival reactions consisted of slight to moderate redness and chemosis, mainly until 24 hours after instillation. no ocular reactions at the 72-hour observation, and the study was then terminated.;no;;;;;;;;;;;slightly irritating to rabbit eyes when tested undiluted;;;solid;;;;99.1;;;;op 35;test substance: Imexine AA;in vivo ;rabbit/new-zealand white ;;;;f;;;;3;;;;;;;;;;;;;;;;50;mg;0.1;;occular;;;; ;;3;1, 24, 48 and 72h after instillation;;;;;no;neat;;instilled into the conjunctival sac of the left eye of the animals after gently pulling the lower lid away from the eye ball. lids were then held together for about one second. ;1989;yes;;3;;untreated right eye served as control;;
2,6-diamino-3-((pyridin-3-yl)azo)pyridine ;OECD 404 ;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_065.pdf;;no mortality, no systemic symptoms and no skin reactions were recorded in any of the test animals. ;;;;;;;;;;;;the test substance was considered to be non-irritating to the skin of rabbits. ;;;;;;;> 98;;;;l6/186 ;test substance: da100491;in vivo ;rabbit/new zealand albino;;;;f;;;;3;;;;;;;;;;;;;;;;0.5; g;;single;dermal;;semi-occlusive cellulose patch dressing;shaved;;4;;1, 24, 48, and 72 h ;;;;;wiped with a cellulose tissue.;;;;1992;yes;neat da100491 was not irritating to rabbit skin.;15;;;access to the application area was prevented by a plastic collar. after the 4-h application time, the area was wiped with a cellulose tissue. ;
2,6-diamino-3-((pyridin-3-yl)azo)pyridine ;OECD 405 ;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_065.pdf;ophtalmoscope;the entire eye, especially cornea, iris and conjunctivae were examined, using an ophthalmoscope. there were no mortality and no clinical signs. minimal redness of the conjunctivae was observed in one animal 1 and 24 h. all other scores were zero at any time.;;;;;;;;;;;;da100491 was concluded to be non-irritating to the mucous membranes of rabbits. ;;;;;;;> 98;;;;l6/186;test substance: da100491 ;in vivo ;rabbit/new zealand albino ;;;;f;;;;3;;;;;;;;;;;;;;;;44-56;mg ;0.1;single;occular;;;;;;;1, 24, 48, and 72 h after instillation ;;;;;;;;;1992;yes;undiluted da100491 does have minor irritant potential to rabbit eyes.;16;;the untreated left eye served as control. ;single administration. test susbtance was placed into the conjunctival sac of the right eye of each animal. lids were then held together for about one second. ;
2,6-dihydroxyethylaminotoluene;OECD 404;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_188.pdf;;animals were examined for mortality, clinical signs and signs of irritation response at mentioned time point. the treated skin area of all animals showed no signs of erythema or oedema formation.;;;;;;;;;;;;2,6-di(2-hydroxyethylamino)-toluol was not irritant to rabbit skin under the conditions of the experiment. ;;;;;;;99.8;;;;pt. 1/91;test substance: 2,6-di(2-hydroxyethylamino)-toluol;in vivo ;rabbit/white new zealand (spf crl:nzw) ;;;;;;;;3;;;;;;;;;;;;;;;;500;mg;;single dose;dermal, shaved dorsal area of trunk ;;occluded, gauze patch and aluminium foil held in contact with the skin by an occlusive dressing;;;4;;60 minutes, 24, 48 and 72 hours after patch removal;;;;;yes with water;water;;;1995;yes;;5 (submission 2);;;;
2,6-dihydroxyethylaminotoluene;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_188.pdf;;;;;;;;;;;;;;the test substance was not irritating at 1% in water. ;;;;;1;;99.5;;;;#2;test substance: 1 % (w/v) a.i. in water ;in vivo ;rabbit/new zealand white ;;;;;2.73 to 3.06 kg;;;3;;;;;;;;;;;;;;;;0.1; ml;;;occular, conjuctival sac of right eye ;;;;;;;1, 24, 48 and 72 h following treatment according to the draize scale. ;;;;;;distilled water;;;;yes;;3 (submission 1);;the left eye remained untreated and was used for control purposes. ;the test was performed according to oecd guideline n° 405 (1987), referenced as method B5 in commission directive 84/449/EEC. ;
2,6-dihydroxyethylaminotoluene;OECD 405;https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_188.pdf;;the animals were examined for clinical signs and the eyes were examined for lesions of conjunctivae, cornea and iris at mentioned time points. one hour after instillation a slight redness and a swelling of the conjunctivae with lids about half closed were observed. 24 hours after application a diffuse, crimson colour but only light swelling were seen. all animals were free of irritation signs 96 hours after application.;;;;;;;;;;;;;;;;;;;99.8;;;;pt. 1/91 ;test substance: 2,6-di(2-hydroxyethylamino)-toluol ;in vivo ;rabbit/new zealand white  (spf crl:nzw);;;;m;;;;3;;;;;;;;;;;;;;;;100;mg;;;occular;;;;;;;60 minutes, 24, 48, 72 and 96 hours after application of the test substance;;;;;the eyes were washed out 24 hours after instillation of the test substance. ;;;;1995;yes;under the conditions of the test, 2,6-di(2-hydroxyethylamino)-toluol was irritant to the rabbit eye.;6 (submission 2) ;;the untreated eye was used as control.;;
1,2,4-trihydroxybenzene ;OECD 404;https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_113.pdf;;"after a 3-minute exposure (one animal) a very slight or well defined erythema was noted from day 2 up to day 6. after a 1-hour exposure (three animals) a very slight or well defined erythema was noted from day 1 up to day 8 in the first treated animal. in the two other animals, a discrete erythema was noted on day 1 and 2 in one of them; no erythema was observed in the other one. after a 4-hour exposure (three animals) a brown coloration of the skin was noted in all animals from day 1 up to day 2, 6 or 9. this could have masked a very slight or well defined erythema. no other cutaneous reactions were recorded during the study. ";;;;;;;;;;;;due to the skin colouration by 1,2,4-trihydroxybenzene after a 4-hour exposure, it was not possible to definitely conclude on the irritant potential. based on the results obtained with the 1-hour exposure, 1,2,4-trihydroxybenzene at 3% in water was slightly irritant for the rabbit skin. ;;;;;3;test substance in water;98.1;;;;506382;test substance: 1,2,4-trihydroxybenzene ;in vivo;rabbit/new zealand white ;;;;m;;;;3;;;;;;;;;;;;;;;;0.5 ;ml;;single;dermal;;semi-occlusive, test substance  placed on a dry gauze pad, the gauze pad was held in contact with the skin by means of an adhesive hypoallergenic aerated semiocclusive dressing and a restraining bandage. ;clipped skin on the flank, clipping repeated on several days up to day 9;;3 m, 1 h & 4 h in one rabbit. 1 h & 4 h in the other two rabbits;9;;;;;;;;;;2004;yes;;3;;the untreated skin served as control.;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
